hora;fecha;lluvia_mm
2;46219;0.2
5;46219;0
8;46219;0.8
11;46219;3.1
14;46219;6
17;46219;10
20;46219;17
23;46219;18
2;46220;12
5;46220;10
8;46220;11
11;46220;12
14;46220;11
17;46220;14
20;46220;13
23;46220;10
2;46221;10
5;46221;2
8;46221;1.7
11;46221;0.6
14;46221;0.3
17;46221;0.2
20;46221;0.6
23;46221;0
2;46222;0.8
5;46222;0
8;46222;0
11;46222;0
14;46222;0
17;46222;0.7
20;46222;3
23;46222;6
2;46223;11
5;46223;15
8;46223;8
11;46223;10
14;46223;4.6
17;46223;8
20;46223;3.1
23;46223;2
2;46222;1.2
5;46222;2.6
8;46222;5
11;46222;8
14;46222;4
17;46222;3.1
20;46222;4.8
23;46222;1.1
2;46223;4.2
5;46223;0
8;46223;0
11;46223;0
14;46223;0
17;46223;0
20;46223;0
23;46223;0
